Codi_Sector_Activitat,Nom_Sector_Activitat,Codi_Grup_Activitat,Nom_Grup_Activitat,Codi_Activitat_2022,Nom_Activitat,Nom_Local,Latitud,Longitud,Direccio_Unica,Nom_Via
1,Comerç al detall,3,Parament de la llar,3003000,Mobles i articles fusta i metall,MOBLES MOLINO,41.373710989,2.166970074,"288408, 19-19, LOC 20",ROSER
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,KSARA,41.372865621,2.165639699,"294207, 41-41, LOC 10",SALVÀ
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400100,serveis d'allotjament,MAMBO TANGO HOSTEL BARCELONA,41.374038063,2.165618241,"261004, 23-23, LOC 20",POETA CABANYES
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400002,Restaurants,MATSURIYA,41.372679437,2.167330831,"043502, 32-32, LOC 10",BLESA
3,Altres,17,Altres,1700600,Activitats de la construcció,JARQUE ELECTRICITAT AIGUA GAS CLIMATITZACIO,41.373093066,2.158251554,"043706, 12-12, LOC 20",BÒBILA
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,CENTRAL PERÚ,41.373169552,2.165671885,"043400, 11-11, LOC 20",BLAI
2,Serveis,16,Altres,1600600,Perruqueries,VAKERO STILO,41.373683817,2.161930203,"108007, 62-62, LOC 20",ELKANO
3,Altres,17,Altres,1700700,Arts gràfiques,LA NAVE 13,41.374148765,2.16650337,"294207, 13-13, LOC 10",SALVÀ
2,Serveis,11,Finances i assegurances,1100000,Finances i assegurances,BANC SABADELL,41.374799888,2.159972191,"198804, 123-125, LOC 10",AV PARAL·LEL
1,Comerç al detall,7,Altres,7004020,Basars,PROSPERO HOME,41.3748019,2.159761637,"198804, 123-125, LOC 20",AV PARAL·LEL
2,Serveis,9,Ensenyament,9000000,Ensenyament,ALKIMIA,41.372689501,2.165351361,"294207, 50-50, LOC 10",SALVÀ
2,Serveis,16,Altres,1600000,Pàrquings i garatges,PARKING PUBLICO PARAL·LEL,41.373115207,2.160657495,"273400, 20-20, LOC 40",RADAS
